employee_id,store_id,first_name,last_name,email,role,dept_id,joining_date,salary
1,75,Vasudha,Prabhu,vasudha.prabhu@retailmart.com,Store Associate,8,2024-02-22,29979
2,43,Ekiya,Dada,ekiya.dada@retailmart.com,Sales Executive,10,2022-06-19,34826
3,22,Ucchal,Master,ucchal.master@retailmart.com,Data Engineer,9,2022-11-06,172607
4,45,Anusha,Kapoor,anusha.kapoor@retailmart.com,Inventory Clerk,10,2025-01-05,21792
5,173,Tanay,Malhotra,tanay.malhotra@retailmart.com,Assistant Manager,1,2025-11-03,72895
6,140,Shaurya,Rai,shaurya.rai@retailmart.com,Assistant Manager,4,2024-11-26,51871
7,118,Andrew,Oak,andrew.oak@retailmart.com,Data Analyst,1,2024-09-29,70879
8,50,Tara,Balan,tara.balan@retailmart.com,Cashier,3,2024-04-30,27986
9,60,Mekhala,Minhas,mekhala.minhas@retailmart.com,Finance Executive,5,2024-10-05,50931
10,118,Saksham,Mani,saksham.mani@retailmart.com,Store Associate,6,2025-10-04,25650
11,1,Faris,Shanker,faris.shanker@retailmart.com,Maintenance Staff,6,2022-06-19,20463
12,48,Neel,Vasa,neel.vasa@retailmart.com,Cashier,7,2024-02-18,26212
13,14,Bahadurjit,Nadig,bahadurjit.nadig@retailmart.com,Security Supervisor,1,2025-10-01,32634
14,118,Rajata,Raj,rajata.raj@retailmart.com,Finance Executive,9,2023-07-26,50196
15,171,Liam,Soman,liam.soman@retailmart.com,Cashier,10,2022-07-03,23836
16,42,Zinal,Kara,zinal.kara@retailmart.com,Inventory Clerk,4,2025-01-18,20344
17,148,Hema,Deshmukh,hema.deshmukh@retailmart.com,Data Engineer,7,2025-07-15,201681
18,15,Yadavi,Maharaj,yadavi.maharaj@retailmart.com,Finance Executive,10,2025-06-03,53678
19,152,Diya,Garde,diya.garde@retailmart.com,Sales Executive,4,2025-11-14,27430
20,84,Bahadurjit,Dalal,bahadurjit.dalal@retailmart.com,Customer Service Rep,5,2025-04-05,21805
21,149,Yashoda,Bajaj,yashoda.bajaj@retailmart.com,Inventory Clerk,1,2023-10-15,34960
22,105,Barkha,Mukhopadhyay,barkha.mukhopadhyay@retailmart.com,Finance Executive,2,2024-02-15,61176
23,96,Mitesh,Dyal,mitesh.dyal@retailmart.com,Store Associate,10,2025-03-10,25310
24,157,Laksh,Sule,laksh.sule@retailmart.com,Security Supervisor,3,2023-08-21,28873
25,129,Ekansh,Badami,ekansh.badami@retailmart.com,Inventory Clerk,7,2025-11-17,19702
