employee_id,store_id,first_name,last_name,email,role,dept_id,joining_date,salary
1543,117,Anay,Seshadri,anay.seshadri@retailmart.com,finance executive,5,2024-05-18,62551.0
1925,136,Nitara,Om,nitara.om@retailmart.com,Sales Executive,10,,33113.0
1631,194,Ryan,Gera,ryan.gera@retailmart.com,Maintenance Staff,6,2024-06-23,22151.0
2040,67,Kalpit,Sunder,kalpit.sunder@retailmart.com,HR Executive,6,2025-05-15,61737.0
2397,134,Hema,Sethi,hema.sethi@retailmart.com,Cashier,1,2023-03-05,27392.0
1185,2,Radhika,Uppal,radhika.uppal@retailmart.com,Logistics Coordinator,9,2025-03-13,34570.0
714,11,Harshil,Koshy,harshil.koshy@retailmart.com,Data Analyst,4,2025-11-25,131052.0
1711,32,Lopa,Ganesh,lopa.ganesh@retailmart.com,Assistant Manager,10,2025-06-03,81924.0
1213,175,Anika,som,anika.som@retailmart.com,Regional Manager,6,2024-02-27,176615.0
500,170,Nimrat,Lad,nimrat.lad@retailmart.com,Data Analyst,4,2024-12-18,117958.0
2150,6,,SHENOY,siddharth.shenoy@retailmart.com,Store Manager,7,2024-04-02,85728.0
271,42,Chakradev,UPPAL,chakradev.uppal@retailmart.com,data engineer,5,2023-08-12,154260.0
2559,151,Saanvi,,saanvi.sunder@retailmart.com,Data Engineer,6,2025-08-31,188584.0
1797,192,Wridesh,Issac,wridesh.issac@retailmart.com,Visual Merchandiser,7,2023-05-20,44343.0
442,167,Indrajit,Borah,indrajit.borah@retailmart.com,Store Manager,7,,142153.0
1573,194,Forum,Vala,forum.vala@retailmart.com,Regional Manager,4,2025-10-20,238367.0
1365,132,Harrison,Bhatia,harrison.bhatia@retailmart.com,Store Manager,7,2025-04-10,84967.0
2936,139,Suhani,Nath,suhani.nath@retailmart.com,Data Analyst,3,2023-09-21,89864.0
981,169,Upkaar,,upkaar.bakshi@retailmart.com,Marketing Associate,7,2023-02-13,20567.0
2338,179,Sara,SESHADRI,sara.seshadri@retailmart.com,,7,2023-04-07,109389.0
748,74,Harinakshi,Bandi,harinakshi.bandi@retailmart.com,Inventory Clerk,6,2026-01-20,22853.0
809,30,Rajata,,rajata.ravi@retailmart.com,Maintenance Staff,10,2026-02-08,16772.0
882,45,tristan,Dayal,tristan.dayal@retailmart.com,Maintenance Staff,4,2025-02-26,18316.0
2363,114,Chanchal,khatri,chanchal.khatri@retailmart.com,Finance Executive,10,2023-11-18,52007.0
1481,182,,Grewal,chaaya.grewal@retailmart.com,Visual Merchandiser,3,2025-05-05,44442.0
1564,93,Vansha,Modi,vansha.modi@retailmart.com,Marketing Associate,10,2025-05-28,47510.0
2243,178,Forum,more,forum.more@retailmart.com,HR Executive,2,2025-09-08,42970.0
2593,155,Rohan,Baral,rohan.baral@retailmart.com,Security Supervisor,6,2022-07-21,38130.0
902,200,Lavanya,COMAR,lavanya.comar@retailmart.com,Sales Executive,1,2024-10-29,26266.0
1424,157,dakshesh,Gade,dakshesh.gade@retailmart.com,Sales Executive,9,2022-07-15,38570.0
842,26,Hemang,Varty,hemang.varty@retailmart.com,Inventory Clerk,9,2025-07-03,18191.0
1832,34,Meghana,Sharma,meghana.sharma@retailmart.com,Marketing Associate,10,2023-07-10,29248.0
1767,18,Zayyan,Roy,zayyan.roy@retailmart.com,HR Executive,2,2025-01-20,69387.0
632,57,Guneet,Hora,guneet.hora@retailmart.com,Cashier,5,2022-09-14,24275.0
2771,43,Jackson,Mane,jackson.mane@retailmart.com,SALES EXECUTIVE,7,2023-07-06,34954.0
2262,161,Peter,Virk,peter.virk@retailmart.com,,7,2025-07-20,20549.0
2622,69,Dalaja,Bhatia,dalaja.bhatia@retailmart.com,MAINTENANCE STAFF,4,2024-08-10,12389.0
617,36,,Rajan,zilmil.rajan@retailmart.com,Data Analyst,5,2025-10-09,73676.0
2424,140,Lakshmi,Mani,lakshmi.mani@retailmart.com,Store Associate,2,2025-08-08,25033.0
566,165,Radhika,Sarkar,radhika.sarkar@retailmart.com,Data Analyst,5,2025-07-24,119219.0
1714,159,Hardik,Kari,hardik.kari@retailmart.com,Assistant Manager,6,2022-02-22,52303.0
2516,5,Agastya,Sengupta,agastya.sengupta@retailmart.com,Maintenance Staff,1,2025-09-17,12178.0
350,72,Amaira,,amaira.naidu@retailmart.com,Cashier,1,2022-09-22,26396.0
2242,62,Kamya,Chanda,kamya.chanda@retailmart.com,Logistics Coordinator,10,2024-08-28,60686.0
2472,7,Vrishti,Setty,vrishti.setty@retailmart.com,Marketing Associate,8,2026-02-10,46990.0
2543,163,Unni,Chanda,unni.chanda@retailmart.com,Finance Executive,10,2021-09-26,75276.0
2460,142,Qarin,Barad,qarin.barad@retailmart.com,Store Manager,6,2024-04-06,136865.0
1242,76,Waida,Brahmbhatt,waida.brahmbhatt@retailmart.com,Marketing Associate,9,2025-08-30,27894.0
267,126,Ishaan,Batra,ishaan.batra@retailmart.com,Store Associate,4,2024-11-16,28370.0
2975,114,Inaya,Deep,inaya.deep@retailmart.com,Logistics Coordinator,9,2024-08-17,69421.0
756,120,Darika,Palla,darika.palla@retailmart.com,Regional Manager,10,2026-01-26,221983.0
1939,123,Aayush,Nadkarni,aayush.nadkarni@retailmart.com,Marketing Associate,9,2023-12-13,37165.0
1150,34,Chanakya,Kannan,chanakya.kannan@retailmart.com,Finance Executive,4,,56061.0
2458,137,Hema,Taneja,hema.taneja@retailmart.com,DATA ANALYST,7,2022-09-10,128171.0
1932,50,Wahab,Datta,wahab.datta@retailmart.com,Assistant Manager,9,2026-02-11,57685.0
